Time (uS) - Plot 0;Amplitude - Plot 0 - real;Time (uS) - Plot 0;Amplitude - Plot 1 - imag
7080;3,00E+04;7080;-2,10E+04
7100;3,00E+03;7100;2,50E+04
7120;-8,00E+03;7120;4,70E+04
7140;1,06E+05;7140;-6,70E+04
7160;5,30E+04;7160;-1,70E+04
7180;-2,40E+04;7180;4,10E+04
7200;2,90E+04;7200;4,00E+04
7220;3,40E+04;7220;3,30E+04
7240;1,90E+04;7240;-2,10E+04
7260;-2,00E+03;7260;1,70E+04
7280;-2,00E+03;7280;-4,00E+03
7300;-4,80E+04;7300;9,00E+03
7320;1,00E+03;7320;-1,70E+04
7340;-5,30E+04;7340;2,90E+04
7360;-4,30E+04;7360;-5,20E+04
7380;9,00E+03;7380;8,00E+04
7400;2,10E+04;7400;-5,00E+04
7420;-2,40E+04;7420;-4,90E+04
7440;2,70E+04;7440;2,20E+04
7460;5,40E+04;7460;8,00E+03
7480;-2,60E+04;7480;-2,40E+04
7500;1,00E+03;7500;-4,00E+04
7520;-8,00E+04;7520;-2,50E+04
7540;-4,60E+04;7540;2,30E+04
7560;8,20E+04;7560;-1,54E+02
7580;-2,00E+03;7580;6,60E+04
7600;-1,40E+04;7600;8,30E+04
7620;-6,00E+03;7620;2,60E+04
7640;-2,00E+04;7640;-2,00E+03
7660;5,00E+03;7660;3,00E+03
7680;-5,90E+04;7680;1,40E+04
7700;1,90E+04;7700;5,00E+03
7720;-4,80E+04;7720;3,60E+04
7740;1,00E+03;7740;-3,70E+04
7760;3,90E+04;7760;-4,40E+04
7780;4,70E+04;7780;5,60E+04
7800;-4,60E+04;7800;-8,00E+03
7820;5,40E+04;7820;-2,00E+03
7840;5,20E+04;7840;-4,40E+04
7860;5,20E+04;7860;-7,00E+03
7880;-3,30E+04;7880;-4,00E+03
7900;-1,40E+04;7900;4,70E+04
7920;5,00E+03;7920;6,00E+03
7940;5,00E+03;7940;4,40E+04
7960;-3,00E+03;7960;-5,80E+04
7980;-4,20E+04;7980;1,90E+04
8000;-2,90E+04;8000;1,60E+04
